Date	Today Cash	Expense	Total Sale
24-Nov	4140	2070	6270
25-Nov	2800	2380	2655
28-Nov	2380	1828	1858
29-Nov	560	3315	3285
30-Nov	1120	1400	2250

Date	Today Cash	Expense	Total Sale
1-Dec	2320	1688	4033
2-Dec	1950	1150	1750
3-Dec	320	4120	1955
4-Dec	1310	845	2140
5-Dec	850	1623	1878
6-Dec	1400	363	2050
7-Dec	1940	1565	2655
8-Dec	2950	2485	5169
9-Dec	730	4850	2120
10-Dec	910	1270	2070
11-Dec	1450	1050	2720
12-Dec	2100	1630	2410
13-Dec	1800	1365	2140
14-Dec	700	2120	2230
15-Dec	2000	1440	4070
16-Dec	1500	1840	1725
17-Dec	2000	980	2370
18-Dec	1080	1178	1610
19-Dec	710	1845	2840
20-Dec	670	850	1490
21-Dec	1800	218	3010
22-Dec	1470	5513	5338
23-Dec	520	4733	1678
24-Dec	740	980	1940
25-Dec	1410	758	3018
26-Dec	1830	1405	2900
27-Dec	870	1996	2586
28-Dec	1460	1520	2600
29-Dec	1330	2495	3550
30-Dec	400	1123	1438
31-Dec	1360	280	2350
